AGB (kg),NDVI,SAVI,EVI,GNDVI,WDVI,SR,NDWI,NDI45,MTCI,RENDVI
261.240778264337791,0.21023,0.31531,0.33841,0.30257,1673.50000,1.53239,-0.29130,0.04281,2.42069,0.16894
261.240778264337791,0.19907,0.29858,0.31885,0.29371,1725.00000,1.49711,-0.28026,0.02535,3.85556,0.17460
261.240778264337791,0.20142,0.30209,0.32294,0.29191,1700.50000,1.50443,-0.28815,0.04052,2.39860,0.16222
261.240778264337791,0.19751,0.29623,0.31612,0.29552,1663.00000,1.49224,-0.29340,0.03623,2.57937,0.16244
261.240778264337791,0.19606,0.29405,0.31360,0.30178,1652.50000,1.48775,-0.29976,0.04291,2.24000,0.15445
5514.764570114391972,0.40212,0.60306,0.70850,0.35352,1459.50000,2.34513,-0.00749,0.15491,2.79655,0.26362
5514.764570114391972,0.56011,0.84002,1.07033,0.44010,1962.00000,3.54658,0.11742,0.22643,2.43501,0.38215
5514.764570114391972,0.38770,0.58144,0.67827,0.34747,1485.50000,2.26635,0.01302,0.12441,3.52720,0.27662
5514.764570114391972,0.59987,0.89966,1.17123,0.46707,2134.00000,3.99836,0.15156,0.25564,2.12649,0.40657
6740.568069801426645,0.54692,0.82023,1.03779,0.44900,1885.50000,3.41422,0.12303,0.23658,2.42893,0.35646
6740.568069801426645,0.57173,0.85746,1.09940,0.47245,2285.50000,3.66990,0.19431,0.22348,2.70361,0.39926
6740.568069801426645,0.56389,0.84568,1.07972,0.43932,1811.50000,3.58603,0.11287,0.25977,2.32767,0.35631
6740.568069801426645,0.54050,0.81062,1.02215,0.45500,1974.00000,3.35260,0.15394,0.21808,2.87824,0.36551
1328.815210825287522,0.31535,0.47294,0.53282,0.31920,1334.50000,1.92119,-0.18408,0.09450,1.89286,0.22763
1328.815210825287522,0.31567,0.47342,0.53344,0.30738,1304.50000,1.92257,-0.20154,0.10971,1.55752,0.21335
1328.815210825287522,0.30780,0.46162,0.51822,0.31913,1343.50000,1.88935,-0.19302,0.09202,1.85714,0.22207
1328.815210825287522,0.30481,0.45714,0.51247,0.31466,1342.50000,1.87692,-0.19348,0.09429,1.92611,0.21676
1328.815210825287522,0.28386,0.42572,0.47259,0.30534,1322.50000,1.79277,-0.20778,0.07713,2.03509,0.21136
350.507890186051327,0.32307,0.48451,0.54786,0.32745,1342.50000,1.95450,-0.19338,0.11927,1.50000,0.21196
350.507890186051327,0.31034,0.46543,0.52313,0.32234,1330.00000,1.90000,-0.20467,0.11669,1.45418,0.20093
350.507890186051327,0.32750,0.49117,0.55656,0.32890,1416.50000,1.97399,-0.16725,0.10438,1.68750,0.23102
350.507890186051327,0.30952,0.46419,0.52153,0.31932,1363.00000,1.89652,-0.18745,0.10541,1.58696,0.21099
1378.718302814666913,0.29931,0.44888,0.50191,0.30549,1301.50000,1.85432,-0.17232,0.09125,1.93782,0.21390
1378.718302814666913,0.30395,0.45584,0.51080,0.31564,1344.50000,1.87334,-0.17014,0.09519,1.76214,0.21497
1378.718302814666913,0.31141,0.46703,0.52519,0.32251,1382.00000,1.90447,-0.16637,0.09683,1.75355,0.22124
1378.718302814666913,0.34331,0.51486,0.58783,0.34481,1357.00000,2.04556,-0.15283,0.12854,1.60618,0.22468
1378.718302814666913,0.35397,0.53086,0.60921,0.33501,1415.50000,2.09583,-0.15365,0.14424,1.34783,0.22102
1378.718302814666913,0.34669,0.51995,0.59461,0.33032,1450.50000,2.06136,-0.14908,0.13096,1.43214,0.22599
1500.799196003162706,0.35314,0.52962,0.60755,0.34406,1525.00000,2.09186,-0.09444,0.11908,1.89189,0.24433
1500.799196003162706,0.40122,0.60173,0.70663,0.37403,1531.00000,2.34014,-0.08333,0.16424,1.59633,0.25370
1500.799196003162706,0.40939,0.61398,0.72393,0.38625,1601.50000,2.38634,-0.06636,0.16313,1.64048,0.26388
1691.807378441085348,0.35613,0.53409,0.61355,0.34939,1346.00000,2.10621,-0.14652,0.12435,1.68487,0.24252
1691.807378441085348,0.36842,0.55253,0.63852,0.34618,1370.00000,2.16667,-0.12973,0.13200,1.62400,0.24851
1500.799196003162706,0.41463,0.62184,0.73510,0.37266,1541.00000,2.41667,-0.07056,0.17071,1.63444,0.26251
1500.799196003162706,0.43593,0.65379,0.78113,0.39315,1634.50000,2.54568,-0.04664,0.17756,1.63188,0.28005
1691.807378441085348,0.33765,0.50638,0.57657,0.32851,1243.00000,2.01956,-0.17421,0.12886,1.67769,0.21829
1691.807378441085348,0.35961,0.53931,0.62058,0.31992,1279.00000,2.12310,-0.15505,0.14903,1.51087,0.22251
8261.867305465171739,0.54510,0.81753,1.03338,0.47906,2198.50000,3.39657,0.06794,0.18780,3.29915,0.39805
8261.867305465171739,0.61687,0.92517,1.21576,0.51433,2399.50000,4.22016,0.11626,0.25606,2.99775,0.42850
8261.867305465171739,0.54510,0.81753,1.03338,0.47906,2198.50000,3.39657,0.06794,0.18780,3.29915,0.39805
8261.867305465171739,0.61687,0.92517,1.21576,0.51433,2399.50000,4.22016,0.11626,0.25606,2.99775,0.42850
8261.867305465171739,0.57803,0.86691,1.11530,0.47745,2128.50000,3.73973,0.06826,0.24134,2.58612,0.39128
4832.380417103593572,0.45186,0.67767,0.81620,0.42336,1676.00000,2.64872,-0.02936,0.15630,2.06228,0.31802
4832.380417103593572,0.43080,0.64609,0.76995,0.39197,1540.50000,2.51373,-0.05966,0.15749,2.24126,0.29321
3597.697586051364397,0.47710,0.71553,0.87293,0.40696,1646.00000,2.82486,-0.02605,0.18292,2.26183,0.32231
4832.380417103593572,0.46047,0.69057,0.83537,0.40856,1664.00000,2.70690,-0.03885,0.18354,1.67552,0.30249
4832.380417103593572,0.44412,0.66605,0.79906,0.39208,1575.50000,2.59787,-0.05612,0.17608,1.86604,0.29077
8155.422325060138064,0.51273,0.76896,0.95556,0.42790,1794.50000,3.10450,0.00801,0.20805,2.06906,0.34107
3597.697586051364397,0.48199,0.72285,0.88408,0.42304,1697.50000,2.86092,-0.01296,0.17876,2.23323,0.33182
3597.697586051364397,0.48652,0.72964,0.89446,0.42090,1664.50000,2.89496,-0.02872,0.19746,1.96199,0.31978
4832.380417103593572,0.43182,0.64761,0.77216,0.39516,1616.00000,2.52000,-0.04816,0.16536,1.74763,0.28695
4832.380417103593572,0.42565,0.63836,0.75878,0.38664,1558.00000,2.48219,-0.05931,0.16472,1.86774,0.28060
8155.422325060138064,0.50875,0.76298,0.94616,0.43546,1769.00000,3.07122,0.00332,0.20646,2.09497,0.33777
8155.422325060138064,0.51500,0.77236,0.96092,0.43660,1760.50000,3.12370,0.00143,0.21475,2.05722,0.33759
8155.422325060138064,0.49750,0.74612,0.91986,0.43013,1746.00000,2.98011,-0.00780,0.20317,1.92201,0.32743
3597.697586051364397,0.51014,0.76508,0.94945,0.42887,1746.00000,3.08284,-0.00430,0.21074,1.95845,0.33547
3597.697586051364397,0.46571,0.69844,0.84713,0.39227,1590.50000,2.74330,-0.04423,0.19202,2.05045,0.30057
8155.422325060138064,0.50692,0.76024,0.94187,0.44196,1776.50000,3.05612,0.00544,0.20481,2.02514,0.33711
1431.399940026772583,0.40208,0.60301,0.70843,0.37309,1594.00000,2.34491,-0.10473,0.16320,1.58457,0.25566
1431.399940026772583,0.35730,0.53585,0.61592,0.35582,1426.50000,2.11186,-0.14305,0.13911,1.75175,0.22961
1431.399940026772583,0.39356,0.59023,0.69052,0.36958,1557.00000,2.29792,-0.11556,0.15512,1.64151,0.25394
1431.399940026772583,0.34637,0.51946,0.59396,0.35393,1460.00000,2.05983,-0.12661,0.10815,2.12335,0.24749
5062.304451086958579,0.45448,0.68160,0.82202,0.38881,1674.50000,2.66624,-0.04095,0.20677,1.37469,0.27340
5062.304451086958579,0.41642,0.62452,0.73893,0.36296,1534.00000,2.42714,-0.08306,0.18941,1.64516,0.24645
5062.304451086958579,0.43110,0.64654,0.77060,0.38214,1618.50000,2.51557,-0.05008,0.20100,1.51238,0.25194
5865.930006550159305,0.47259,0.70876,0.86268,0.40843,1632.00000,2.79213,-0.04584,0.19320,1.76833,0.30746
5865.930006550159305,0.46824,0.70223,0.85284,0.40594,1628.00000,2.76111,-0.04858,0.19147,1.78299,0.30403
5062.304451086958579,0.45306,0.67948,0.81887,0.39289,1734.00000,2.65672,-0.03697,0.19074,1.65963,0.28713
5062.304451086958579,0.43138,0.64696,0.77122,0.38510,1751.00000,2.51728,-0.01820,0.17136,1.69359,0.28077
5865.930006550159305,0.47686,0.71515,0.87236,0.41201,1654.00000,2.82303,-0.04286,0.19729,1.68286,0.30859
5865.930006550159305,0.43609,0.65401,0.78146,0.38484,1512.50000,2.54668,-0.07835,0.18252,1.78485,0.27550
5865.930006550159305,0.44942,0.67400,0.81076,0.39033,1561.00000,2.63251,-0.06592,0.19071,1.73623,0.28296
5865.930006550159305,0.42318,0.63465,0.75344,0.37291,1503.00000,2.46728,-0.07959,0.16866,1.83871,0.27408
1359.304159606084568,0.28994,0.43483,0.48407,0.30511,1407.50000,1.81665,-0.14393,0.08201,2.27749,0.21299
1359.304159606084568,0.31738,0.47598,0.53677,0.32473,1407.00000,1.92988,-0.13975,0.11867,1.74340,0.20648
334.801456953982211,0.38586,0.57869,0.67446,0.35582,1533.50000,2.25659,-0.14292,0.13778,1.83871,0.26201
334.801456953982211,0.32968,0.49443,0.56083,0.31859,1360.50000,1.98364,-0.17804,0.11614,1.94606,0.22204
1359.304159606084568,0.34095,0.51134,0.58315,0.32889,1505.50000,2.03466,-0.12379,0.12057,1.70632,0.22982
1359.304159606084568,0.36293,0.54431,0.62735,0.34039,1552.50000,2.13939,-0.10055,0.13318,1.67010,0.24142
334.801456953982211,0.33704,0.50546,0.57537,0.32331,1357.50000,2.01676,-0.18326,0.11779,1.75314,0.22831
334.801456953982211,0.29554,0.44323,0.49471,0.30846,1289.50000,1.83904,-0.18836,0.08677,2.40984,0.21426
2389.293640652637805,0.41016,0.61512,0.72555,0.36514,1471.00000,2.39075,-0.08913,0.16658,1.65916,0.26144
2389.293640652637805,0.38382,0.57562,0.67021,0.35367,1449.00000,2.24578,-0.09493,0.15090,1.70169,0.24724
2389.293640652637805,0.40504,0.60745,0.71470,0.36899,1493.00000,2.36160,-0.08214,0.15933,1.66118,0.26267
1067.204340580410189,0.33657,0.50476,0.57443,0.32913,1346.50000,2.01462,-0.17522,0.11630,1.84615,0.22924
1491.257272188310026,0.38401,0.57591,0.67062,0.37269,1500.50000,2.24680,-0.08984,0.14824,1.83278,0.25000
1491.257272188310026,0.40453,0.60668,0.71361,0.39124,1565.00000,2.35867,-0.06761,0.15292,1.79934,0.26820
7210.025251092152757,0.38320,0.57470,0.66895,0.35969,1523.00000,2.24256,-0.08175,0.11224,2.52941,0.28314
7210.025251092152757,0.39736,0.59593,0.69849,0.36599,1575.00000,2.31871,-0.07636,0.11678,2.47162,0.29423
2389.293640652637805,0.37421,0.56121,0.65038,0.36221,1506.00000,2.19595,-0.07209,0.12727,1.93822,0.25928
2389.293640652637805,0.37976,0.56954,0.66182,0.36246,1474.50000,2.22456,-0.08160,0.13897,1.85870,0.25420
1067.204340580410189,0.32090,0.48125,0.54362,0.32733,1315.00000,1.94505,-0.17827,0.09856,1.87940,0.22959
1067.204340580410189,0.34048,0.51063,0.58220,0.32878,1319.50000,2.03252,-0.17316,0.11647,1.94714,0.23326
1491.257272188310026,0.40625,0.60927,0.71726,0.37883,1562.00000,2.36842,-0.07433,0.15895,1.73734,0.26437
1491.257272188310026,0.39300,0.58939,0.68934,0.38079,1540.00000,2.29487,-0.06793,0.14329,1.97213,0.26461
7210.025251092152757,0.41840,0.62749,0.74318,0.37491,1568.50000,2.43881,-0.08254,0.15948,1.72964,0.27744
7210.025251092152757,0.40206,0.60299,0.70840,0.36944,1551.50000,2.34483,-0.08746,0.13611,2.13585,0.28135
1067.204340580410189,0.31050,0.46567,0.52343,0.30799,1255.00000,1.90067,-0.19518,0.10801,1.70046,0.20952
1067.204340580410189,0.32308,0.48452,0.54787,0.30998,1280.00000,1.95455,-0.17978,0.10524,2.02899,0.22551
2125.553133595683448,0.41973,0.62948,0.74602,0.39660,1569.00000,2.44665,-0.04780,0.16042,1.81818,0.27803
108.605819245639537,0.29946,0.44910,0.50219,0.30277,1307.50000,1.85492,-0.20744,0.09939,1.69014,0.20620
108.605819245639537,0.31535,0.47294,0.53282,0.30725,1334.50000,1.92119,-0.20018,0.10826,1.59211,0.21441
108.605819245639537,0.30165,0.45239,0.50638,0.30451,1302.50000,1.86387,-0.20660,0.10244,1.61009,0.20555
2125.553133595683448,0.39170,0.58745,0.68664,0.38295,1546.50000,2.28786,-0.04373,0.12934,2.22568,0.27636
2125.553133595683448,0.41298,0.61935,0.73157,0.39396,1518.00000,2.40704,-0.06285,0.16299,1.83871,0.26803
2125.553133595683448,0.41724,0.62575,0.74069,0.38994,1547.50000,2.43196,-0.05689,0.15506,1.95578,0.28032
108.605819245639537,0.29174,0.43754,0.48749,0.29078,1255.00000,1.82384,-0.21712,0.10482,1.45045,0.19283
108.605819245639537,0.31236,0.46846,0.52703,0.31285,1308.50000,1.90850,-0.19792,0.10759,1.57143,0.21189
108.605819245639537,0.30296,0.45436,0.50890,0.30148,1257.00000,1.86928,-0.21465,0.11603,1.35270,0.19374
2125.553133595683448,0.46662,0.69980,0.84918,0.41702,1662.50000,2.74966,-0.03422,0.19674,1.59945,0.29716
1397.129178052272209,0.28808,0.43204,0.48055,0.30289,1352.50000,1.80929,-0.19991,0.08096,1.78022,0.21206
1397.129178052272209,0.26379,0.39562,0.43510,0.29704,1258.00000,1.71663,-0.22149,0.07181,1.93125,0.19569
1397.129178052272209,0.25840,0.38754,0.42515,0.28037,1267.50000,1.69688,-0.21750,0.06696,2.09211,0.19481
1397.129178052272209,0.28771,0.43149,0.47985,0.31808,1334.00000,1.80784,-0.20311,0.08315,1.84324,0.20958
1397.129178052272209,0.25225,0.37831,0.41385,0.28366,1220.50000,1.67469,-0.23162,0.06691,2.03356,0.18852
1397.129178052272209,0.25009,0.37507,0.40990,0.29107,1240.50000,1.66698,-0.22212,0.05929,2.44030,0.19367
2341.065714817478693,0.44252,0.66366,0.79556,0.38528,1549.00000,2.58760,-0.06683,0.18685,1.71554,0.27872
2341.065714817478693,0.42017,0.63013,0.74696,0.38010,1479.50000,2.44928,-0.07856,0.17094,1.93610,0.26851
747.135969827539611,0.20745,0.31112,0.33349,0.25285,1220.00000,1.52349,-0.21808,0.03560,3.20455,0.17313
747.135969827539611,0.23670,0.35499,0.38559,0.27119,1197.50000,1.62021,-0.23498,0.06515,2.03356,0.17424
2341.065714817478693,0.41899,0.62837,0.74444,0.38477,1598.50000,2.44228,-0.04490,0.13912,2.16165,0.29719
2341.065714817478693,0.42889,0.64321,0.76579,0.37921,1555.50000,2.50193,-0.05745,0.16045,1.95960,0.28827
747.135969827539611,0.22202,0.33298,0.35928,0.25182,1172.50000,1.57078,-0.23793,0.06809,1.85000,0.15630
747.135969827539611,0.25104,0.37649,0.41164,0.26300,1157.50000,1.67037,-0.24738,0.09639,1.48341,0.15849
747.135969827539611,0.28036,0.42047,0.46599,0.29755,1216.50000,1.77918,-0.23248,0.11080,1.35443,0.17500
1423.838561519097766,0.25630,0.38437,0.42127,0.27567,1194.00000,1.68924,-0.23963,0.08727,1.80729,0.17289
1423.838561519097766,0.26089,0.39126,0.42973,0.28070,1238.50000,1.70594,-0.22340,0.07561,1.83929,0.18901
1423.838561519097766,0.27896,0.41837,0.46337,0.29529,1312.00000,1.77379,-0.19710,0.07040,2.69231,0.21274
1423.838561519097766,0.27965,0.41941,0.46467,0.28610,1376.00000,1.77644,-0.17064,0.04896,3.89189,0.23389
1423.838561519097766,0.34815,0.52214,0.59753,0.35046,1494.50000,2.06821,-0.16056,0.10009,2.29717,0.25702
1423.838561519097766,0.37376,0.56055,0.64948,0.37003,1556.50000,2.19369,-0.14649,0.11720,2.06148,0.26832
9258.600266964092953,0.38519,0.57767,0.67306,0.34514,1448.00000,2.25303,-0.10636,0.14977,1.62543,0.24983
9258.600266964092953,0.38253,0.57369,0.66755,0.34714,1389.50000,2.23905,-0.11915,0.15405,1.65979,0.24279
9258.600266964092953,0.39023,0.58524,0.68356,0.34724,1411.50000,2.27995,-0.10606,0.16438,1.62821,0.24133
404.083732364281389,0.27023,0.40527,0.44704,0.28594,1186.00000,1.74059,-0.24209,0.08560,1.63128,0.18900
9258.600266964092953,0.42360,0.63528,0.75435,0.35835,1501.00000,2.46982,-0.08441,0.18020,1.60597,0.26351
9258.600266964092953,0.41700,0.62539,0.74017,0.37451,1529.00000,2.43056,-0.06599,0.16763,1.77116,0.26812
404.083732364281389,0.26835,0.40245,0.44354,0.29367,1199.00000,1.73354,-0.23979,0.08775,1.45989,0.18495
404.083732364281389,0.27300,0.40943,0.45221,0.29807,1201.00000,1.75104,-0.24125,0.08615,1.64088,0.19135
404.083732364281389,0.28518,0.42768,0.47506,0.30531,1233.00000,1.79789,-0.23374,0.08654,1.68889,0.20366
1226.103159636492364,0.24397,0.36588,0.39874,0.26654,1166.00000,1.64538,-0.25022,0.07032,2.03896,0.17668
1226.103159636492364,0.20605,0.30903,0.33104,0.24813,1176.00000,1.51906,-0.24244,0.03753,2.88889,0.16984
1226.103159636492364,0.23140,0.34703,0.37603,0.24569,1144.00000,1.60212,-0.26155,0.07569,1.64706,0.15848
364.224062600694594,0.29582,0.44364,0.49524,0.29988,1207.50000,1.84018,-0.23997,0.10880,1.20455,0.19323
836.404260644062902,0.25578,0.38360,0.42033,0.27852,1242.00000,1.68738,-0.22808,0.08446,1.50259,0.17510
836.404260644062902,0.25926,0.38882,0.42673,0.28602,1260.00000,1.70000,-0.21796,0.08217,1.58511,0.18095
404.083732364281389,0.29910,0.44857,0.50151,0.31487,1265.50000,1.85348,-0.23268,0.10612,1.31982,0.19931
404.083732364281389,0.29194,0.43783,0.48787,0.31478,1269.00000,1.82463,-0.22483,0.08718,1.65027,0.21011
1226.103159636492364,0.24557,0.36828,0.40165,0.26127,1151.00000,1.65100,-0.25914,0.07961,1.76879,0.16926
1226.103159636492364,0.20014,0.30015,0.32068,0.23752,1165.50000,1.50043,-0.24752,0.03320,3.28750,0.16806
1226.103159636492364,0.22468,0.33696,0.36401,0.24456,1153.00000,1.57959,-0.25797,0.06110,1.98561,0.16586
364.224062600694594,0.25095,0.37635,0.41147,0.27709,1156.00000,1.67004,-0.24743,0.07143,1.76316,0.18280
364.224062600694594,0.28234,0.42344,0.46972,0.30418,1213.50000,1.78685,-0.23182,0.08845,1.43169,0.19886
836.404260644062902,0.25618,0.38420,0.42106,0.27956,1234.00000,1.68882,-0.23700,0.08223,1.37097,0.17770
836.404260644062902,0.24918,0.37370,0.40824,0.28625,1197.50000,1.66375,-0.24681,0.08777,1.42424,0.16502
1717.916123420661961,0.24389,0.36577,0.39861,0.27418,1274.50000,1.64510,-0.22333,0.06784,2.05556,0.17901
1717.916123420661961,0.25366,0.38042,0.41644,0.26334,1263.50000,1.67974,-0.23479,0.08579,1.56716,0.17161
364.224062600694594,0.26183,0.39267,0.43147,0.28488,1169.50000,1.70941,-0.24296,0.08036,1.63314,0.18537
364.224062600694594,0.27448,0.41164,0.45496,0.28388,1182.50000,1.75664,-0.24000,0.08994,1.42473,0.18921
1717.916123420661961,0.24975,0.37456,0.40929,0.29130,1318.50000,1.66578,-0.20607,0.05632,2.47407,0.19619
1717.916123420661961,0.26891,0.40330,0.44460,0.29129,1355.50000,1.73564,-0.20218,0.06837,2.02484,0.20430
1717.916123420661961,0.24495,0.36737,0.40055,0.28205,1289.00000,1.64884,-0.20703,0.03979,3.48387,0.20718
1717.916123420661961,0.30038,0.45049,0.50397,0.31126,1375.00000,1.85870,-0.19821,0.08911,1.65152,0.21708
566.615940027910597,0.27410,0.41108,0.45426,0.28823,1205.00000,1.75521,-0.24423,0.10238,1.33333,0.17668
472.496385212390180,0.25180,0.37763,0.41303,0.28599,1155.50000,1.67310,-0.24800,0.08627,1.60215,0.16921
472.496385212390180,0.24101,0.36145,0.39338,0.25981,1126.00000,1.63508,-0.25460,0.08191,1.44068,0.16231
472.496385212390180,0.23191,0.34780,0.37696,0.26380,1142.50000,1.60386,-0.24989,0.05995,1.84848,0.17439
566.615940027910597,0.25968,0.38944,0.42749,0.28135,1183.50000,1.70152,-0.24776,0.08244,1.64407,0.18111
566.615940027910597,0.24455,0.36675,0.39980,0.26977,1113.00000,1.64742,-0.26999,0.08491,1.51111,0.16303
472.496385212390180,0.27461,0.41184,0.45521,0.29571,1232.00000,1.75714,-0.23039,0.10787,1.20675,0.17183
472.496385212390180,0.25177,0.37758,0.41297,0.28180,1180.00000,1.67296,-0.24394,0.08877,1.36735,0.16672
566.615940027910597,0.24627,0.36933,0.40292,0.25443,1135.00000,1.65346,-0.26263,0.07779,1.71084,0.17177
566.615940027910597,0.22439,0.33653,0.36349,0.24731,1070.00000,1.57863,-0.28132,0.06898,1.77551,0.15786
760.232529575605326,0.25317,0.37968,0.41554,0.28960,1214.50000,1.67798,-0.25655,0.09522,1.21659,0.16185
760.232529575605326,0.26176,0.39257,0.43134,0.29395,1309.50000,1.70914,-0.22939,0.08915,1.28302,0.17673
760.232529575605326,0.25702,0.38546,0.42261,0.28666,1230.00000,1.69186,-0.24709,0.08551,1.51295,0.17536
760.232529575605326,0.25317,0.37969,0.41555,0.28877,1353.50000,1.67798,-0.20495,0.05276,2.35938,0.20312
3910.061930965569445,0.38221,0.57322,0.66689,0.35227,1478.50000,2.23737,-0.11974,0.14429,1.57143,0.25181
3910.061930965569445,0.43026,0.64527,0.76877,0.36656,1548.00000,2.51039,-0.09841,0.17779,1.62462,0.27339
3910.061930965569445,0.38019,0.57017,0.66270,0.34303,1431.50000,2.22678,-0.13455,0.15408,1.46689,0.24017
3910.061930965569445,0.41237,0.61844,0.73027,0.36125,1519.00000,2.40351,-0.10458,0.16396,1.60383,0.26642
2166.829425099023865,0.33929,0.50885,0.57985,0.32414,1411.00000,2.02706,-0.16178,0.11282,1.85106,0.23549
2166.829425099023865,0.33136,0.49694,0.56414,0.31191,1345.00000,1.99113,-0.17690,0.12639,1.54023,0.21392
2166.829425099023865,0.31548,0.47313,0.53308,0.31019,1326.50000,1.92176,-0.17847,0.10418,1.81567,0.21848
2166.829425099023865,0.30409,0.45606,0.51108,0.29275,1308.00000,1.87395,-0.17465,0.10231,1.71429,0.20826
2754.603927941057464,0.37275,0.55902,0.64739,0.34509,1442.00000,2.18852,-0.12026,0.14685,1.64966,0.23898
2754.603927941057464,0.39700,0.59539,0.69774,0.34949,1462.50000,2.31677,-0.11632,0.17899,1.31624,0.23469
4082.358176064673444,0.38318,0.57466,0.66889,0.34640,1495.00000,2.24242,-0.09395,0.11501,2.35874,0.28053
4082.358176064673444,0.38004,0.56995,0.66239,0.34163,1420.50000,2.22600,-0.12595,0.13641,1.81538,0.25695
2754.603927941057464,0.33132,0.49689,0.56407,0.31399,1322.50000,1.99098,-0.15543,0.12568,1.75294,0.21458
2754.603927941057464,0.33945,0.50908,0.58016,0.32496,1430.00000,2.02778,-0.11639,0.10431,1.99541,0.24377
2754.603927941057464,0.36797,0.55185,0.63760,0.33474,1458.00000,2.16438,-0.11174,0.12966,1.65134,0.25025
4082.358176064673444,0.46268,0.69390,0.84033,0.39914,1735.50000,2.72215,-0.02900,0.17442,1.87273,0.31356
4082.358176064673444,0.44492,0.66726,0.80084,0.37924,1642.50000,2.60307,-0.05552,0.17267,1.72699,0.29490
4082.358176064673444,0.38147,0.57210,0.66536,0.35233,1418.00000,2.23350,-0.11696,0.14525,1.73022,0.25009
2754.603927941057464,0.33808,0.50703,0.57744,0.31653,1415.00000,2.02151,-0.13761,0.10275,1.83099,0.24380
